trade_date,n,mae,rmse,mape,smape,mean_error
2022-02-23,112.0,0.003415540200688392,0.004477276684573305,0.1434326049229631,0.21848781726998684,-0.0011695514721878867
2022-02-24,130.0,0.004231720512739863,0.005544534470120144,0.14824328442261278,0.22713038197255328,-0.0033309907576346306
2022-02-28,132.0,0.004294891310769478,0.005974956136193712,0.16025067482268404,0.2430333082584549,-0.0036044519972277464
2022-03-01,124.0,0.004120119484974508,0.005201009988761537,0.15540617630489498,0.22337821095898705,-0.00023187336330315861
2022-03-03,131.0,0.004316575690624429,0.0060689037439518026,0.16650427023084105,0.2523107292986325,-0.0029739958617893965
2022-03-04,126.0,0.005257039604021662,0.007449773811163227,0.18484741648107544,0.2829740156939707,-0.004027142299361024
2022-03-10,143.0,0.010572762276109003,0.013396516377433484,0.2828644312026912,0.4425396312096083,-0.010550907769454889
2022-03-11,151.0,0.012527584050698372,0.01547238985094453,0.28992868505203045,0.4520607834731308,-0.012527584050698372
2022-03-15,160.0,0.029931657571589547,0.038347524674428264,0.3802246851966058,0.6120773624220204,-0.029931657571589547
2022-03-16,179.0,0.006439128134454248,0.008075446312680505,0.19405846862737738,0.3006356677136207,0.0007544729549494927
2022-03-18,166.0,0.008100303020889897,0.011037820204215893,0.23301389266430983,0.32468079060712446,0.007518900098596193
2022-03-21,173.0,0.009312372684032103,0.012924601272064058,0.25829618512616914,0.3743557777305986,0.004565493277489752
2022-03-24,134.0,0.02179998852292407,0.025706113078190488,0.43122099213677345,0.30715876337248005,0.019944380719097137
2022-03-25,138.0,0.017210589313838197,0.020497202327249824,0.3445784797165347,0.250323501421845,0.015324922918774202
2022-03-30,144.0,0.01931097583651302,0.022429154954250744,0.35862497506356195,0.27033465193848144,0.018572003518237786
2022-03-31,142.0,0.018685825465733063,0.021634408758115356,0.3651315108752649,0.2714369584248861,0.018204227430445107
2022-04-01,140.0,0.021141933225893243,0.024210565868077745,0.43802880114276244,0.30854077995647244,0.020681180409046807
2022-04-07,138.0,0.018494728528047753,0.021524103788243043,0.4028060082821165,0.2996003321783895,0.01821133825662872
2022-04-08,140.0,0.019816765489414655,0.022849187706639826,0.43947732630159714,0.3165156580823362,0.018673356513833707
2022-04-14,133.0,0.020049289854043816,0.023722364633554486,0.47889005722002675,0.3519615990562143,0.0199127280464515
2022-04-15,132.0,0.019671174344255637,0.02344992364030963,0.49132043909224626,0.3657891040717553,0.019263397044963347
2022-04-19,139.0,0.016427293055626038,0.01965322355291441,0.4277183998587182,0.3390844084432161,0.015951391747994773
2022-04-20,127.0,0.01077777631792147,0.013221721268910932,0.2997058276811313,0.2945401735964339,0.01045534637778161
2022-04-22,137.0,0.008310517466421787,0.01041002266520509,0.2727275914623397,0.27797879375414053,0.007681143836993769
2022-04-25,132.0,0.0036107692302369244,0.005416238483896641,0.17490555374735645,0.2865676445177113,-0.0009743092634077847
2022-04-28,140.0,0.0089158939106641,0.012114291174606065,0.19458340082280645,0.19335695671626058,0.0042594203575471775
2022-04-29,140.0,0.00773109024380653,0.011443599554622817,0.15395839600749117,0.1943991102739787,-0.0017493981442835184
2022-05-05,137.0,0.006666496489980324,0.010435637131171389,0.16468564177482117,0.22603864761050269,-0.002392715826495196
2022-05-09,144.0,0.007966074429093802,0.01368090696015165,0.1699432620805364,0.2497711969078378,-0.004395854351345834
2022-05-10,142.0,0.006860762266840219,0.012367565141927819,0.1542390287453049,0.2283768083780982,-0.0028472447205114527
2022-05-12,135.0,0.0067214084050727894,0.01170292419641054,0.17171153772352432,0.2486890392601141,-0.0017635756444999084
2022-05-13,142.0,0.0068551958115754975,0.012009695658336674,0.17676654219220753,0.24050756612889085,-0.0010496787062914594
2022-05-19,141.0,0.007669847589372368,0.012925879498422402,0.24160097182316756,0.3225032978332397,-0.0009586502885592099
2022-05-20,139.0,0.008307930413753665,0.01264726800567331,0.22985785125457647,0.30698367373970337,0.0025037371245781293
2022-05-24,139.0,0.007258428038186701,0.010977546431205172,0.28017477581214173,0.40360929715815563,0.00254925203078825
2022-05-25,110.0,0.01025701660851039,0.013787650146066697,0.2592773643474597,0.3181452817049005,0.004205630925772878
