trade_date,n,mae,rmse,mape,smape,mean_error
2022-04-07,138.0,0.008842983159609139,0.010998869106174028,0.19248537899558657,0.20615970916003165,0.008067115019840051
2022-04-08,140.0,0.010273380787898774,0.012699258137901095,0.2149981094077043,0.22005592491065537,0.008718568453470868
2022-04-14,133.0,0.010982729879449902,0.013940094052446648,0.24268088203717983,0.25396130847007664,0.010334467324124899
2022-04-15,132.0,0.010838032687402094,0.013586047390687606,0.24502959804732272,0.26243438798174146,0.00946301425472046
2022-04-19,139.0,0.007046828861114546,0.008899324450915782,0.1993474546642751,0.24483035489490215,0.005987900927291969
2022-04-20,127.0,0.0047538861779430255,0.006213703729661962,0.1626297819962745,0.2346410163507371,0.0033417967445462746
2022-04-22,137.0,0.003443035636900427,0.004386832009495665,0.1617544299373584,0.24123461769022564,0.0012974497287888047
2022-04-25,132.0,0.008803824040077873,0.010940856523358949,0.2862567201643289,0.4588253161531882,-0.00851934770327418
2022-04-28,140.0,0.011324880523527961,0.017033304601877814,0.21201507482329188,0.2085074402172494,0.010110716284385392
2022-04-29,140.0,0.015178931850200346,0.020724997547921085,0.23765255242303254,0.22289074774699832,0.013597409377567718
2022-05-05,137.0,0.01451889796339342,0.019589537770322615,0.24413276691383295,0.24310474640931037,0.013999631522692223
2022-05-09,144.0,0.010987067686485111,0.01739590035967495,0.21694766704972523,0.2592973317967393,0.007038745341879044
2022-05-10,142.0,0.010627476851260921,0.017325146494888245,0.2009978501313683,0.2402971789294522,0.008681170236332707
2022-05-12,135.0,0.011098568955340359,0.017617438819811534,0.22922053100712242,0.2684535345470485,0.009914528185166185
2022-05-13,142.0,0.011860114723274933,0.01867731225154106,0.2523938468579548,0.26921893923202744,0.010811846879300443
2022-05-19,141.0,0.014399252981069212,0.02175560178582279,0.3808274262511738,0.36800459489057724,0.012487031106319922
2022-05-20,139.0,0.01713152961422122,0.025292006388839428,0.36498107195634066,0.36534914045913053,0.016219978506000623
2022-05-24,139.0,0.015478063808441385,0.02371705483021229,0.4143019008119989,0.46425078126770586,0.014712719586117416
2022-05-25,110.0,0.02065750634516031,0.028257057523695096,0.44479260483519717,0.4113613803466654,0.019675306400502454
2022-05-27,128.0,0.022452588939863592,0.028945816757837618,0.49334592583608405,0.42618038516097245,0.02196384876482707
2022-05-30,130.0,0.02171907348739487,0.02889683993390511,0.46924052588661713,0.4137335753166261,0.0209885326588052
2022-06-01,133.0,0.020435930597580556,0.028381010275763417,0.4435763185217167,0.3946375788234711,0.019507857196197832
2022-06-02,135.0,0.019732760672048193,0.02748061716458186,0.4519496513708658,0.3935340729410325,0.018695863763877756
2022-06-08,136.0,0.01564579590093098,0.02275016463523009,0.2982154444254729,0.35242896312943095,0.014972786040906976
2022-06-09,130.0,0.0164242852512127,0.023526773614153042,0.3348619811555242,0.38506399341739483,0.01617821397866108
2022-06-13,137.0,0.01601583682671478,0.023591350795028363,0.3416754044131091,0.3971806612518875,0.014806071715559649
2022-06-14,134.0,0.012952893685169378,0.019585609604413468,0.28655739229603844,0.377157313177601,0.011795468953083088
2022-06-16,133.0,0.004711849129700339,0.00861292290568505,0.2075642831523961,0.35879224427952344,-0.00041105173623647825
2022-06-17,135.0,0.005633963347631353,0.009624917334667913,0.22690944374480365,0.3878950995927112,-0.001985426170864475
2022-06-23,101.0,0.008604430221671514,0.01323372407910791,0.09162419128983466,0.09591891494695673,0.0020015253878724417
2022-06-24,101.0,0.009114200541950782,0.013454411656577877,0.10897066252815213,0.11472863479091396,0.0033375148850787652
2022-06-28,107.0,0.007951186691433574,0.013322487059367432,0.1181576518872457,0.14710718963553174,0.0005974405885614967
2022-06-29,103.0,0.009056288297233777,0.01479122785890057,0.12850432989224564,0.15771192006084694,0.0001405560946133615
2022-07-01,115.0,0.00785134302360883,0.013766950906331564,0.151599013125661,0.20443995799288617,-0.0026348895758978703
2022-07-04,111.0,0.008242331673858712,0.013964978983217273,0.1750283744428028,0.24093041822213904,-0.003894940304362211
2022-07-07,116.0,0.00738954771343147,0.01239899871172093,0.1479580894202124,0.20140983749926705,-0.00256515950335342
2022-07-08,115.0,0.007724375945424361,0.012430038615698765,0.16612366183056393,0.23060618282723244,-0.004123449179483258
2022-07-13,111.0,0.008017179842149743,0.013906301243716149,0.17165172123610936,0.24827333040963914,-0.003954688066168031
2022-07-14,112.0,0.008184278198911208,0.015028722535459012,0.16870227570272922,0.24260063467377546,-0.0037017389726436744
2022-07-18,116.0,0.008062059513588746,0.014729707321693966,0.18613270896044307,0.27740856729279995,-0.0036144519968471307
2022-07-19,113.0,0.008487570118026727,0.015475834996052604,0.19519267813662397,0.29265415116633625,-0.004091903243903748
2022-07-21,116.0,0.007423940043795626,0.01390506550325402,0.1876358105007083,0.2860476531493089,-0.002954635386437175
2022-07-22,108.0,0.011303485839219545,0.018475120697882083,0.2972834043754382,0.466268880719015,-0.010710741370245878
2022-07-28,107.0,0.015530535558246334,0.02377191488002441,0.24690051191501372,0.3514029772077359,-0.014439002727747716
2022-07-29,105.0,0.017423184625401055,0.025502584679077765,0.2627738899535481,0.3739994435098916,-0.016831226107977392
